"gene.name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test.result"
"NFIX",46.48645138,1.132543203,0.49288052,2.297804755,0.021572904,0.067747373,"*"
"BTN3A1",2252.549281,0.503078492,0.22012803,2.285390426,0.022289945,0.069628398,"*"
"GLT8D1",304.7634466,0.422109388,0.185888701,2.270764098,0.023161262,0.071890202,"*"
"REV3L",906.659322,-0.334617621,0.147660861,-2.266122651,0.023443875,0.072585241,"*"
"RALBP1",582.8768604,-0.603578775,0.266772874,-2.262519296,0.023665338,0.073136657,"*"
"RB1CC1",973.8296634,-0.578369004,0.262143113,-2.206310126,0.027362293,0.0821666,"*"
"ABCC2",33.61616677,1.035641212,0.475227598,2.179253093,0.029312872,0.086829378,"*"
"TTC22",128.0408,-0.546787246,0.250955563,-2.178820985,0.029344969,0.08691058,"*"
"IYD",58.10485429,0.642610185,0.298353881,2.153852271,0.031251759,0.091289975,"*"
"RNF14",129.9028552,-0.598055036,0.27783571,-2.152549201,0.031354125,0.091521589,"*"
"CENPQ",24.16585293,-0.996685528,0.465286423,-2.142090287,0.032186217,0.093489699,"*"
"GRN",80.13716451,-1.095985174,0.519645678,-2.109100915,0.034935872,0.100097343,"*"
"POU2F2",463.1803447,0.539866762,0.256344253,2.10602249,0.035202399,0.100674411,"*"
"MDH1",386.6110373,-0.405318668,0.193943618,-2.089878869,0.036628682,0.103888597,"*"
"CDKL5",267.3243108,0.563509387,0.270129494,2.086071311,0.036972164,0.104575025,"*"
"MRE11",431.0563226,-0.387273642,0.186621523,-2.075182086,0.037969662,0.106826384,"*"
"APBA3",73.37065753,-0.555778892,0.267862672,-2.074865031,0.037999045,0.106876636,"*"
"DBF4",156.45309,-0.515374507,0.249288038,-2.067385624,0.038697832,0.108448467,"*"
"GIPR",87.60692683,0.749178438,0.369241117,2.028968072,0.042461542,0.116876341,"*"
"UPP2",9.993211161,1.062058997,0.524555884,2.02468227,0.0429,0.117786119,"*"
"B4GALT7",112.4076077,0.736362657,0.364295123,2.021335478,0.043245049,0.118575546,"*"
"MVP",363.2670355,0.400442651,0.201183524,1.990434621,0.046543079,0.125961664,"*"
"STPG1",108.0712339,0.772006269,0.391233354,1.973262918,0.048465615,0.130150182,"*"
